depmap_id,cell_line_name,OncotreeLineage,OncotreePrimaryDisease,prism_doxorubicin_lfc,relative_abundance_vs_control,relative_abundance_percent,doxorubicin_sensitivity_score,ATM,CHEK2,HIPK2,MDM2,PPM1D,SIAH1,TP53,WSB1,CDKN1A,BAX,BBC3,GADD45A,MDM4,ATR,CHEK1,CASP3
ACH-000711,JIMT1,Breast,Invasive Breast Carcinoma,-3.54734584037,0.0855347316219018,8.55347316219018,3.54734584037,3.5436320305,4.7997503281,3.3708045483,4.3491106033,2.3917071819,4.7521224022,6.7568497658,6.2701497078,3.6855814457,7.1604061127,3.0602738857,6.0140361786,1.6577086449,3.7492339611,4.4564580917,3.9393959045
ACH-000759,MDAMB175VII,Breast,Invasive Breast Carcinoma,-2.23062285696,0.21306671545974593,21.30667154597459,2.23062285696,2.4000678062,3.7703957558,3.414347887,4.8411326408,2.3170406818,3.6121046543,3.954885006,6.4196400642,6.6669268608,7.3012127876,2.1965472698,3.1635229588,4.5249099731,3.6636064053,2.9234116077,5.0008382797
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,-5.23373111961,0.026576020111254244,2.6576020111254244,5.23373111961,4.3112778664,3.4711873531,4.3884167671,4.319914341,2.8489444256,3.8506393433,5.5414962769,5.9754900932,6.6670265198,7.6986074448,2.1194558144,6.4622092247,3.5013372898,3.655454874,5.9009394646,4.7090644836
ACH-000934,MDAMB361,Breast,Invasive Breast Carcinoma,-2.95708100406,0.12877451360215242,12.877451360215241,2.95708100406,3.3147718906,3.8718731403,3.3343222141,5.3975734711,4.4496073723,3.9047539234,3.9340541363,6.2995266914,7.3930387497,7.3571472168,3.4865598679,5.5518665314,3.6745398045,4.0654430389,4.7380003929,5.1830101013
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,-4.55913828808,0.04241921437530288,4.241921437530288,4.55913828808,3.8740689754,4.4989910126,4.7270383835,4.9098501205,2.2051954269,3.775598526,5.0138640404,5.8653326035,3.8944685459,7.0976319313,2.488057375,6.801068306,3.9749054909,3.5388610363,4.7390756607,4.2358956337
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,-4.26563850386,0.05198940650364063,5.198940650364063,4.26563850386,3.9185101986,4.6835451126,2.4515988827,4.5554847717,2.8849377632,4.7836241722,6.6290245056,5.1815400124,5.0357823372,6.5826253891,2.4955954552,7.3602061272,3.1824777126,4.1000947952,5.9524383545,4.9598813057
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,-2.21294834334,0.21569305903151398,21.5693059031514,2.21294834334,4.6663703918,4.9267444611,2.5389056206,5.4099473953,3.2069525719,3.3150966167,5.8097696304,6.3826775551,4.3597531319,5.2661380768,1.3633561134,1.8276442289,4.9723067284,4.2968978882,6.0011672974,3.9617528915
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,-5.42760775729,0.023234175225447976,2.3234175225447977,5.42760775729,4.5560369492,5.3079204559,2.1747164726,6.776512146,2.8249571323,4.3857069016,4.2614555359,5.8433408737,6.4472303391,6.0805401802,2.6877729893,3.775282383,6.3329763412,4.4485378265,4.4395699501,5.0890703201
ACH-000859,HCC1954,Breast,Invasive Breast Carcinoma,-7.30322759006,0.0063315410981273,0.63315410981273,7.30322759006,3.8846077919,5.529964447,2.3612236977,4.1059799194,2.8671352863,4.6751046181,6.6445069313,6.7211813927,6.1071314812,6.829126358,1.6429048777,5.7313842773,3.6371350288,4.1158738136,4.9698505402,5.1130046844
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,-4.47203472621,0.04505919262843502,4.505919262843502,4.47203472621,3.1730890274,5.113462925,3.2917199135,5.9146289825,6.637717247,3.3540048599,6.705991745,6.0898985863,7.2742614746,6.3937783241,2.8882989883,4.1538052559,5.2093987465,4.1238398552,4.0478787422,2.744238615
